1000 iterations

hand sizes/types,Tapped Summit,Tapped Catacombs,All Tapped,
10,0.172147001934236,0.2318181818181818,0.1771117166212534,
9,0.21314741035856574,0.27380952380952384,0.21008403361344538,
8,0.296551724137931,0.35311572700296734,0.2996894409937888,
7,0.32387706855791965,0.40514469453376206,0.33,
6,0.41192411924119243,0.46715328467153283,0.41906474820143885,
5,0.4807692307692308,0.5252100840336135,0.4855371900826446,
4,0.5725190839694656,0.6318407960199005,0.5811764705882353,
